Altersgruppe,Bildungsgruppe,Gender,Frequency,Freq_ges,Percent,LowerCL,UpperCL,Bundesland,Standard,Variable,BundeslandId
18 - 29 Jahre,Gesamt,Frauen,302,899,36.902,32.817,41.184,Deutschland,0,AMarztB,0
18 - 29 Jahre,Gesamt,Gesamt,561,2100,28.312,25.793,30.974,Deutschland,0,AMarztB,0
18 - 29 Jahre,Gesamt,Männer,254,1188,20.697,17.841,23.878,Deutschland,0,AMarztB,0
30 - 44 Jahre,Gesamt,Frauen,720,1895,38.012,34.983,41.136,Deutschland,0,AMarztB,0
30 - 44 Jahre,Gesamt,Gesamt,1229,3768,34.433,32.281,36.65,Deutschland,0,AMarztB,0
30 - 44 Jahre,Gesamt,Männer,506,1863,30.834,27.822,34.018,Deutschland,0,AMarztB,0
45 - 64 Jahre,Gesamt,Frauen,2883,4834,62.161,60.188,64.095,Deutschland,0,AMarztB,0
45 - 64 Jahre,Gesamt,Gesamt,5188,8981,59.613,58.093,61.116,Deutschland,0,AMarztB,0
45 - 64 Jahre,Gesamt,Männer,2295,4129,57.058,54.742,59.344,Deutschland,0,AMarztB,0
65 + Jahre,Gesamt,Frauen,3489,4330,83.552,81.839,85.132,Deutschland,0,AMarztB,0
65 + Jahre,Gesamt,Gesamt,6405,7856,83.272,81.932,84.532,Deutschland,0,AMarztB,0
65 + Jahre,Gesamt,Männer,2900,3506,83.006,80.817,84.992,Deutschland,0,AMarztB,0
Gesamt,Gesamt,Frauen,59,86,54.727,37.856,70.578,Bremen,0,AMarztB,4
Gesamt,Gesamt,Frauen,59,86,62.099,49.526,73.234,Bremen,1,AMarztB,4
Gesamt,Gesamt,Frauen,152,234,54.375,44.748,63.686,Mecklenburg-Vorpommern,1,AMarztB,13
Gesamt,Gesamt,Frauen,152,234,59.307,49.549,68.381,Mecklenburg-Vorpommern,0,AMarztB,13
Gesamt,Gesamt,Frauen,176,268,61.248,52.87,69.01,Thüringen,1,AMarztB,16
Gesamt,Gesamt,Frauen,176,268,69.642,62.23,76.157,Thüringen,0,AMarztB,16
Gesamt,Gesamt,Frauen,188,273,60.288,51.563,68.405,Sachsen-Anhalt,1,AMarztB,15
Gesamt,Gesamt,Frauen,188,273,65.019,56.903,72.349,Sachsen-Anhalt,0,AMarztB,15
Gesamt,Gesamt,Frauen,207,367,56.107,49.045,62.929,Hamburg,1,AMarztB,2
Gesamt,Gesamt,Frauen,207,367,56.43,49.05,63.535,Hamburg,0,AMarztB,2
Gesamt,Gesamt,Frauen,252,405,54.345,46.611,61.875,Schleswig-Holstein,1,AMarztB,1
