Variablenübersicht (nur generierte und nicht interne Variablen);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Studie;Thema und Fragebogenausschnitt;Unterthema;Varname;;DStyp ID;Datensatztyp;Varlabel;Originalvariable;Dateninfo;SyntaxGenVar;VarLevel; Valuelabel Set;Ausprägungen;Text Dt
GEDA19;Krankheiten (1101);Koronare Herzkrankheit (110102);KHbbmyo12;;17;Abt2_DS;Herzinfarkt/chron. Beschw.: I.d.l. 12 Mon.;KHmyo12 BBmyo12;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.1.2. Diseases and chronic conditions, S.6/7
Analog GEDA14 in CATI getrennte Fragestellung zum Herzinfarkt (KHmyo12/CD1C1) und chronische Beschwerden nach Herzinfarkt (BBmyo12/CD1C2) i.d.l. 12 Monaten zusammengefasst in einer Variable (KHbbmyo12/CD1C) laut EHIS-Vorgabe.
Wenn eine der Fragen (KHmyo12, BBmyo12) mit ""Ja"" beantwortet wurde, wird KHbbmyo12 auf ""Ja"" gesetzt. Wenn beide Fragen mit ""Nein"" beantwortet wurden, wird KHbbmyo12 auf ""Nein"" gesetzt. 
Missing: wenn eine Frage mit Keine Angabe oder Weiß Nicht und die andere Frage ebenso oder mit Nein beantwortet wurde";"*Zur Info: KHbbmyo12 entspricht EHIS Varname CD1C;
IF KHmyo12 < 1 or BBmyo12 < 1 THEN KHbbmyo12=.;
IF KHmyo12=1 or BBmyo12=1 THEN KHbbmyo12=1; /*Ja*/
IF KHmyo12=2 and BBmyo12=2 THEN KHbbmyo12=2; /*Nein*/";Nominal;JaNeinWnKA;;
;;;;;;;;;;;;;-99;Keine Angabe
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;-98;Weiß nicht
;;;;;;;;;;;;;1;Ja
;;;;;;;;;;;;;2;Nein
GEDA19;Krankheiten (1101);Koronare Herzkrankheit (110102);KHmyokhk12;;17;Abt2_DS;Herzinfarkt, Chron. Beschw.oder Kor. Herzerkrankung/Angina Pectoris: I.d.l.12 Mon.;KHmyo12 KHkhk12 BBmyo12;"Herzinfarkt, Chron. Beschw.oder Kor. Herzerkrankung/Angina Pectoris: I.d.l.12 Mon.
Die Variable wird auf ""Nein"" gesetzt, wenn alle drei Variablen KHkhk12, KHmyo12 und BBmyo12 mit ""Nein"" beantwortet wurden.
KHmyokhk12 ist ""Ja"", wenn mindestens eine der Variablen  KHkhk12, KHmyo12 und BBmyo12 mit ""Ja"" beantwortet wurde. 
if KHmyo12=1 or  BBmyo12=1 or  KHkhk12=1 then KHmyokhk12=1;

KHmyokhk12 ist Missing, wenn eine der Krankheitsvariablen Missing ist und keine mit ""Ja"" beantwortet wurde.";"if KHmyo12=2 and  BBmyo12=2 and  KHkhk12=2 then KHmyokhk12=2;
if KHmyo12=1 or  BBmyo12=1 or  KHkhk12=1 then KHmyokhk12=1;";Nominal;JaNein;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;1;Ja
